id,Literal,y_category
2841,bronquiolitis aguda,J
2842,Cateterización de arteria radial izquierda,0
2843,STC bilateral,Z
2844,salpinguectomia,6
2845,CPRE esfinterotomia,5
2846,utero bicorne part,O
2847,Papiloma intracanalicular,8
2848,dolor abdominal,R
2849,PRESÍNCOPES,R
2850,Dinamica uterina,O
2851,Desgarro grado 2,0
2852,obstrucción carotídeo y vertebral derecho,I
2853,DESPROPORCIÓN PELVICO-CEFÁLICA,N
2854,mtx. ósea,1
2855,Sd ansioso parto,O
2856,angio tac toracico,B
2857,HIPOTIROIDISMO 3T,O
2858,Cardiopatia isquémica,I
2859,laparoscópica-robótica,5
2860,Anemia ferropenica part,D
2861,RN vivo,V
2862,DM anteparto,6
2863,miomatoso,D
2864,MALADAPTACIÓN PULMONAR,C
2865,: 0 RH positivo,Z
2866,Deficit de vit d,E
2867,cst,O
2868,Traqueomalàcia congènita,Q
2869,i resp cronica,5
2870,Prótesis de ambas rodillas,Z
2871,Rinovirus,B
2872,AFASIA,7
2873,insuficiencia mitral,I
2874,Circular prieta,O
2875,ALERGIA pENICILINA,V
2876,INSUFICIENCIA RESPIRATORIA crónica,5
2877,tac torax,B
2878,metástasis axilares,1
2879,pòlips gàstrics,K
2880,Hipogonadismo hipogonadotropo,E
2881,tabaco,F
2882,Rizartrosis bilateral,M
2883,rádica,O
2884,21 semanas,Z
2885,historia GEU,Z
2886,Absceso postoperatorio,9
2887,colestasis,R
2888,Hipotiroidismo 2t,O
2889,hemorragia postparto,O
2890,Preeclampsia leve.,O
2891,diarrea crónica,R
2892,melanoma,8
2893,RE POSITIVO +++,Z
2894,lactancia artificial,O
2895,NO DESEA LACTANCIA,Z
2896,Gestante de 40,O
2897,TUMORECTOMÍA mama derecha,0
2898,alergia Penicilina,Z
2899,Escleros multiple parto,O
2900,Anorexia nerviosa,F
2901,ÓSEAS,C
2902,Hipertension gestacional,O
2903,adenoidectomia yamigdalectomia,2
2904,Extabac,F
2905,HISTERECTOMIA,0
2906,cervicalgia posparto,O
2907,Aborto incompleto,O
2908,Urolitiasis,N
2909,poliuria,R
2910,IT,I
2911,desgarro perineal de segundo grado,O
2912,tiroiditis de Hashimoto,E
2913,655.03,O
2914,Hiperprolactinemia parto,E
2915,re+,V
2916,EA,I
2917,Grupo sanguíneo: B positivo,Z
2918,MIoma,8
2919,IMC: 41,Z
2920,sd poliglandular,D
2921,Trastorno adaptativo parto,O
2922,Grupo sanguíneo: 0 +,Z
2923,MIOMA,8
2924,Finegoldia,O
2925,FÍSTULA DE LCR,R
2926,Historia de SARS Cov 2,Z
2927,ALERGICO A PENICILINA,V
2928,Colestasis part,O
2929,Nódulo tiroideo part,E
2930,Dilatación pelvis renal,N
2931,ECO TV,8
2932,carcinoma invasivo,8
2933,Nebulitzacions,9
2934,Monitorizacion fetal,4
2935,MIOMA vagina,D
2936,alcohol parto,O
2937,SGB+,6
2938,CISTOPROSTATECTOMÍA RADICAL lap,0
2939,les parto,Z
2940,: 0 positivo,Z
2941,exeresis piel nasal,0
2942,Rx parrilla costal,B
2943,anexectomia bilateral laparoscopica,6
2944,Alergias medicamentosas: nolotil,Z
2945,depresiva,F
2946,Esófago de Barrett,K
2947,itu E.faecalis,B
2948,rpm 1,O
2949,fracuta,1
2950,prematuridad 1750,P
2951,RE: positivo,Z
2952,EEG,4
2953,portador de DAI,Z
2954,Apgar1,4
2955,valvula dederivació ventriculo-peritoneal,Z
2956,abortadora habitual,O
2957,ENDOMETRIOSIS PROFUNDA DE OVARIO IZQUIERDO,N
2958,hemibloqueo anterior,I
2959,a pos,Z
2960,12 sem,Z
2961,Sutura vaginal,0
2962,febril qx,R
2963,A : NEGATIVO,Z
2964,COLECISTECTOMÍA Lap,0
2965,Desgarro PERINEAL II,0
2966,anorexia nerviosa parto,F
2967,PTR izquierda cementada,Z
2968,ceftazidima,3
2969,Historia de Fractrura,Z
2970,COVID parto,O
2971,SPBF,6
2972,vaginosis bacteriana,6
2973,herniorrafia inguinal derecha,0
2974,Pirosis,7
2975,Esteatosis hepática,K
2976,Histerocopia quirúrgica,0
2977,soplo inocente,R
2978,Sd de Blackfan Diamond,Q
2979,Amigdalitis aguda no especificada,J
2980,tos,R
2981,imc 41,Z
2982,HBP,N
2983,Hemitiroidectomia,V
2984,ERC,N
2985,hipotiroidismo qx part,E
2986,ANEXECTOMIA BILATERAL LAP,0
2987,Distimia,F
2988,Hipotiroidismo part,O
2989,ILE por Trisomia,O
2990,Alergia Nolotil,Z
2991,polimicrogiria frontal bilateral,Q
2992,Descompensacio ascitica,R
2993,Esofagitis eosinofílica,K
2994,PTI part,O
2995,herpes simple,B
2996,Ependimoma ventriculo,2
2997,estimulacion oxitocínica,3
2998,bsGC,4
2999,disfuncion renal,N
3000,Nefropatía diabetica,E
3001,trastorno ventilatorio restrictivo,J
3002,Historia de Colicos renales de repetición,Z
3003,Alergica a plantas,Z
3004,GSRH:O positivo,Z
3005,Artritis Reumatoide,M
3006,febril posparto,O
3007,Alergica AMOXICILINA,V
3008,augmentine,3
3009,meniscectomía derecha,0
3010,Anemia macrocítica,D
3011,IVE,6
3012,trastorno ansioso depresivo,F
3013,Mastectomia derecha,8
3014,Hermana cáncer de mama,Z
3015,Monorrena quirugica,V
3016,Protesis de rodilla bilateral,Z
3017,ca mama bilaterl,C
3018,Tumorectomía mama bilateral,0
3019,Sdm depresivo,F
3020,Hipogonadismo hipergonadotropo,E
3021,ALERGIA pirazolona,Z
3022,eventración paraumbilical,K
3023,Podálica,O
3024,ABORTO INCOMPLETO,O
3025,Ecografía obstétrica,B
3026,neo mucinosa,8
3027,36,Z
3028,desgarro 1 grado,O
3029,distensión abdominal,R
3030,Hipoglucemias,R
3031,ecografia obs,B
3032,Klebsiella oxytoca,B
3033,RX Tórax,B
3034,pescado,E
3035,celiaquia parto,O
3036,Trastono adaptativo,F
3037,Aborto tardio,6
3038,fotofobia,R
3039,Radiografía cervical,B
3040,Alérgica claritromicina,Z
3041,reflux gastroesofàgic,K
3042,strip I,O
3043,"GsRh, A positivo",Z
3044,caída accidental,E
3045,Tos ferina,O
3046,ANEXECTOMÍA BILATERAL,0
3047,carcinoma endometroide,8
3048,Cataracta senil inespecificada,5
3049,ampicilina,3
3050,sutura vesical,0
3051,hipertrofia endometrial,N
3052,h Fractura,V
3053,Asma alergica,J
3054,Nódulo pulmonar,J
3055,Litiasis Renal,N
3056,Vaginosis,N
3057,cateter arterial,0
3058,Grupo 0 +,Z
3059,laceración en horquilla vaginal,O
3060,Nefrectomía radical dreta laparoscópia,0
3061,HIDROCEFALIA OBSTRUCTIVA,N
3062,ductus arterioso persitente,Q
3063,"Artrosi secundària, espatlla dreta",M
3064,Dermatitis seborreica parto,L
3065,Corticoterapia,3
3066,conización part,O
3067,artropatía,M
3068,sgb parto,O
3069,CARCINOMA RENAL DE CÉLULAS CLARAS,C
3070,Tumor vesical,C
3071,seroma cesrea,O
3072,condropatía femoralinterna grado III,M
3073,BiPAP,9
3074,CMV parto,O
3075,UHN izquierda,0
3076,METRORRAGIA POSTIVE,N
3077,alergia a los acaros,Z
3078,SEPTOPLASTIA,0
3079,Rm cerebral,B
3080,Linfadenectomia axilar derecha,0
3081,Infección Respiratoria,J
3082,Prematuridad 36,P
3083,antibiótico,9
3084,obesidad mórbida,2
3085,RAM,Z
3086,LT,0
3087,absceso mamario,N
3088,RE NEGATIVO,Z
3089,290.3,N
3090,SGB,6
3091,mutacion protombina,O
3092,Alérgica a Penicilinas,Z
3093,Atrofia renal izquierda,N
3094,ALERGIA A PENICILINA,V
3095,Shock Séptico,R
3096,Hiperglicemia,R
3097,vídeo EEG,4
3098,control posparto,6
3099,embarazo cronológicamente prolongado,O
3100,Cardiopatia isquémica,I
3101,Discopatía degenerativa L5-S1,M
3102,tce sin pc,P
3103,Hemofilia,D
3104,Disfagia,R
3105,GS O rh positivo,Z
3106,insuficiencia cardiaca biventricular,I
3107,Bradicardia sinusal,R
3108,Polipectomia mediante histeroscopia quirúrgica,0
3109,Asma parto,J
3110,Fiebre rn,P
3111,arritmia benigna,I
3112,Gonartrosis D,M
3113,MIOMA anteparto,6
3114,661.43,N
3115,Amenorrea: 41,Z
3116,Protesis de cadera dcha .,Z
3117,Talla baja,R
3118,bipolar,F
3119,H11.001,H
3120,radiografia rodilla bilateral,B
3121,ictericia neonatal,P
3122,HTA irc 3b,I
3123,Sincope,R
3124,duodenoscopia,0
3125,espondiloartrosis lumbar,M
3126,Quimioterapia,Z
3127,sonda vesical,0
3128,sangrado posparto,O
3129,Traqueotomía,0
3130,asma anteparto,6
3131,doble J derecho,0
3132,HBP,N
3133,barrera idiomática,Z
3134,Diástasis de recto,K
3135,miomas part,D
3136,desgarro 3 grado,O
3137,RM medular,B
3138,CDI MD,C
3139,Ligadura tubarica,Z
3140,anemia microcítica e hipocromica,D
3141,escoliosis parto,O
3142,Radiografía de tórax y abdomen,B
3143,Anemia ferropenica part,D
3144,anemia ferropenica parto,D
3145,multirresistente,V
3146,CISTOADENOMA SEROSO,8
3147,NACO,Z
3148,Vertigen i mareig,R
3149,laringitis,4
3150,Cirrosis hepática,K
3151,quistectomia ovarica lap,6
3152,S. Aureus,B
3153,port a cath,8
3154,Diabetes Gestacional,O
3155,Apneas del sueño,G
3156,hipomagnesemia,E
3157,Escoliosis lumbar,M
3158,sutura episiotomia,0
3159,"Grupo sanguíneo: O, Rh: POSITIVO",Z
3160,Nódulo pulmonar,J
3161,Neutropenia,D
3162,CISTOPROSTATECTOMÍA RADICAL lap,0
3163,Aborto,6
3164,ecografia cadera izq,B
3165,ein,4
3166,Aminiocentesis,1
3167,Transfusión de 1 CH,3
3168,MC/BA,O
3169,onfalitis rn,P
3170,Amenaça part prematur,O
3171,cicatricial,L
3172,Hematoma de pared abdominal,R
3173,salpinguectomía bilateral laparoscópica,0
3174,dermatitis dishidrótica,L
3175,Metrorragia anemizante,N
3176,distonía larínge,G
3177,hipotiroidisme part,O
3178,Madden izquierda,0
3179,III plano OA,M
3180,TC CEREBRO SIN/CON CONTRASTE,B
3181,tumoración,8
3182,Colitis ulcerosa,K
3183,gastritis crónica part,O
3184,Hemangioma hepático,2
3185,Gastritis crónica,K
3186,MIGRANYA,G
3187,mareos,R
3188,Lupus eritematoso sistémico,L
3189,Psoriasis,L
3190,Down,Q
3191,Hipertrigliceridemia parto,O
3192,Tumorectomía mama derecha.,0
3193,herniorrafia umbilical,5
3194,oxígeno,9
3195,Incidentaloma suprarrenal izquierda,D
3196,Retención placentaria,O
3197,Anexectomía derecha laparoscopia,0
3198,Cva,V
3199,levetiracetam,3
3200,Hemicolectomia,Z
3201,ca Mama izquierda,C
3202,rinitis,4
3203,Ca.endometrio,C
3204,57.22,I
3205,TRISOMIA,0
3206,deposiciones líquidas,R
3207,Dostinex,3
3208,Se administra gammaglobulina anti D,3
3209,TC-toracoabdominal,B
3210,Déficit Proteína S parto,D
3211,cistectomía radical lap,0
3212,Absceso tuboovarico,N
3213,RESTOS PLACENTARIOS,O
3214,VASECTOMIA,Z
3215,Miocardiopatía dilatada isquémica,I
3216,Desgarros I grado,O
3217,hta irc 4,I
3218,ceftriaxona,3
3219,Nefrocalcinosis,N
3220,obesidad morbida parto,Z
3221,DOBLE ANEXECTOMÍA,0
3222,Riñón en herradura,Q
3223,Podálica anteparto,6
3224,historia de neumonias,Z
3225,ca mama bialteral,C
3226,disartria,R
3227,amigdalectomía,2
3228,Depresión mayor,F
3229,HIPERACTIVIDAD VESICAL,N
3230,CIN 1 parto,O
3231,queratocono,H
3232,Anemia de transtornos crónicos,D
3233,Adherencias part,O
3234,DA lap,0
3235,Crohn parto,K
3236,hallux valgus bilateral,M
3237,arteria umbilical única,Q
3238,SOP parto,E
3239,mioma subseroso part,D
3240,endometritis aguda,N
3241,DA,0
3242,estenosis laringea,Q
3243,Déficit factor VII parto,D
3244,deficit Vit D parto,O
3245,Migrañas PARTO,G
3246,Radiografia de tòrax,B
3247,angio tac torax,B
3248,faldon abdominal,7
3249,ECOGRAFIA TRANSVAGINAL,B
3250,úlcera gástrica parto,O
3251,resección gástrica,Z
3252,Carcinoma endometrio,C
3253,Hidrosalpinx,N
3254,Trombosis historia,Z
3255,COVID parto,O
3256,Leucemia linfoide aguda,2
3257,Reflux gastroesofàgic,K
3258,ca Mama bilateral,C
3259,Colestasis gravídica part,O
3260,"Contusió de pulmó, bilateral",Q
3261,Síndrome depresivo mayor,F
3262,coma,R
3263,Retención de DIU,Z
3264,Fibriliación auricular,I
3265,cigarrillos,3
3266,historia ait,Z
3267,antibiótcio,3
3268,FIBROMA,8
3269,parkinsonismo vascular,G
3270,Gen Protrombina part,O
3271,edoxaban,Z
3272,ECOGRAFÍA UROLÓGICA,B
3273,PARACETAMOL,3
3274,IMC 29,V
3275,Rinitis perenne,J
3276,Leucopenia neonatal,D
3277,LITIAIS RENAL,N
3278,cordon largo,O
3279,V15.82,Z
3280,Quiste Hemorrágico Derecho,K
3281,LITIASIS RENAL,N
3282,Migrañas con aura part,G
3283,obesidad mórbida part,E
3284,quiste sacro,7
3285,ANTIBIÓTICA,3
3286,carcinoma seroso de alto grado,8
3287,cesrea,1
3288,ostoporosis,M
3289,enfermedad pélvica inflamatoria,N
3290,pàrt,V
3291,diverticulosis sigmoidea,K
3292,PCR COVID: NEGATIVO,Z
3293,NO PROGRESIÓN DE PARTO,O
3294,Neoplasia urotelial,8
3295,Hipoacusia neurosensorial derecha,H
3296,trastorno adaptativo,F
3297,estreñimiento,K
3298,Polimicrogiria,7
3299,déficit factor VIII,D
3300,Dermatitis Atópica parto,L
3301,Anorexia nerviosa parto,F
3302,Colonoscopia,4
3303,SPECT cerebro,B
3304,nefropatía IgA.,N
3305,Carcinoma invasivo,8
3306,historia Ictus iquémico,V
3307,biopsia Mama derecha,0
3308,Coriamnionitis anteparto,6
3309,INSUFICIENCIA MITRAL,I
3310,historia Pólipo colon,Z
3311,Alergia a metamizol,Z
3312,Mioma utero,D
3313,Radiografía de torax,B
3314,Ansiedad,F
3315,Hernia hiato,K
3316,historia RETINOBLASTOMA,Z
3317,tea,G
3318,TAC torácico,B
3319,doble anexectomía,6
3320,36 semanas,Z
3321,Historia de Guillain-Barré,Z
3322,estenosis aci,4
3323,Biopsia cervical:,0
3324,atelectasia,J
3325,CÓLICO RENAL DERECHO,N
3326,SGB POSITIVO,6
3327,poliposis colonica,K
3328,insuficiencia venosa parto,O
3329,dolor abdominal anteparto,6
3330,endometriomas ováricos,6
3331,LINFADENECTOMIA AXILAR,0
3332,distocia de hombros,6
3333,IC descompensada,I
3334,Gentamicina,3
3335,Alérgico a clindamicina,Z
3336,Hipertensión intracraneal idiopática,G
3337,quiste renal,N
3338,ovario poliquístico parto,O
3339,legrado obstétrico evacuador,1
3340,Luxación congénita de cadera,7
3341,cdi mtx,8
3342,celiaquía part,K
3343,ITU de repetición parto,O
3344,reba,O
3345,sarcoidosis parto,O
3346,colecistectomía laparoscópica,5
3347,depresivo,F
3348,hepatica,5
3349,Litiaisi renal,5
3350,Amputación supracondilea izquierda,0
3351,Otitis mitjana aguda,H
3352,quistes hepáticos,K
3353,RM dorsal,B
3354,Mastectomía izquierda,0
3355,Amenaza de aborto,O
3356,"GRUPO SANGUINEO B, Rh Positivo",Z
3357,Grupo sanguineo 0+,Z
3358,cdis mama der,0
3359,Urticaria crónica,L
3360,Historia de stent,Z
3361,candidiasis vaginal part,O
3362,Criptorquídia esquerra,M
3363,Quiste simplerenal,N
3364,cortis,E
3365,sutura vagina,0
3366,SCA,4
3367,Klebsiella pneumoniae,B
3368,ex-Pretermino,V
3369,COXATROSIS DERECHA,M
3370,Enfermedad de Steinert,G
3371,laceracion en labio,0
3372,biopsias colón,4
3373,DPC,O
3374,Puérpera,Z
3375,dematitis atópica parto,L
3376,Adherencias parto,O
3377,amigdalitis a repetición,J
3378,Lumbalgia parto,M
3379,Asma,4
3380,Adenoflemón,C
3381,nefrectomía parcial izquierda laparoscópica,0
3382,fiebre rn,P
3383,retinopatia diabetica,E
3384,carcinoma urotelial papilar,8
3385,v5041,Z
3386,Ulcera duodenal,K
3387,alfa-talassemia part,O
3388,Enolismo,F
3389,mordedura de perro,T
3390,35 sem,Z
3391,hernioplastia umbilical con colocación de malla,0
3392,c61,C
3393,bulimia nerviosa parto,F
3394,Ca endometri,C
3395,PTR izqda,Z
3396,33,Z
3397,"E.Coli,",B
3398,Neumonia COVID parto,O
3399,ligadura tubárica derecha,0
3400,recambio de Expansor,8
3401,ITU,N
3402,Radiografía de Abdomen,B
3403,Retención de placenta,O
3404,Quilotórax,N
3405,Sínd Lynch,Z
3406,Ca. epidermoide,8
3407,fibrilación auricular permanente,I
3408,Bulimia nerviosa parto,O
3409,Tabac part,O
3410,covid parto,O
3411,Micosis fungoide,B
3412,279.06,R
3413,Transtorno ansioso-depresivo,F
3414,depresion,F
3415,anemia puerperal,O
3416,multipara añosa,6
3417,glaucoma,H
3418,BOCIO INTRATORÁCICO,3
3419,Sind. mielodisplasico,2
3420,Esferocitosis congénita,D
3421,65501,O
3422,obesitat 3t,Z
3423,neumotórax rn,P
3424,cesáre,1
3425,Varices pélvicas,I
3426,lavado gástrico,3
3427,Alteración visual,H
3428,marcapàs,Z
3429,Fumadora part,O
3430,ile por trisomía,Z
3431,extracción manual placentaria,O
3432,bronquiectasia,4
3433,DA laparoscópica,0
3434,diabetes mellitus tipo 1,E
3435,anti-D jose,O
3436,Sobrepeso parto,E
3437,Fibrosis quística,2
3438,Hipotiroidisimo part,O
3439,diverticulitis,5
3440,Desgarro vaginales,0
3441,recambio de catéter doble j izquierdo,0
3442,Psoriasis part,L
3443,Glaucoma,H
3444,VULVECTOMÍA RADICAL,0
3445,HISTERECTOMIA total LAPAROSCÓPICA,0
3446,Anemia ferropenica part,D
3447,Ex-prematura,V
3448,Insuficiencia cardiaca,I
3449,anexectomía bilateral por Laparoscopia,0
3450,Insuficiencia Mitral parto,I
3451,Hiperreactvidad bronquial,J
3452,dinamica uterina irregular,O
3453,cirugia profilactica ovario,V
3454,"Desgarro I ,",0
3455,ciclo de quimioterapia,Z
3456,diazepam,3
3457,VM 3,9
3458,FPI,J
3459,alergia contrastes yodados,Z
3460,oxitocinica,3
3461,desgarro grado 1.,O
3462,retencion placentaria,O
3463,microangiopatía trombótica,I
3464,Bloqueo av 1 grado,I
3465,Historia de quimio,Z
3466,"Grupo sanguíneo A, Rh negativo",Z
3467,IC,I
3468,DESNUTRICIÓN,E
3469,cistectomía radical laparoscópica,0
3470,Hipertensión arterial -Insuficienta renal crónica,I
3471,cin 1 parto,N
3472,prolactinoma,8
3473,Drenaje torácico,3
3474,histerectomia lap,6
3475,malformación arteriovenosa cerebral,Q
3476,Annexectomia dreta,0
3477,celiaca parto,K
3478,Historia de tromboflebitis,Z
3479,circuncision,0
3480,sindrome Nefrotico,N
3481,Pólipos endometriales,N
3482,Urticaria,L
3483,Pielonefritis Aguda,5
3484,rn mort,Z
3485,O30.032,O
3486,amenorrea primaria,6
3487,Hernia discal L5-S1,M
3488,podalica 2,O
3489,antibiotico,9
3490,aneurisma de aorta torácica ascendente,I
3491,histerectomía lap,6
3492,teratoma ovario izq,D
3493,Histerectomía total abd,0
3494,ca mama izqu,C
3495,OSTEOPENIA,D
3496,desgarro vaginal,O
3497,Úlcera estómago,K
3498,acalasia,4
3499,Limfadenectomia axilar,4
3500,Sindrome depresivo,F
3501,sincope,R
3502,anticoagulació,Z
3503,gastritis crónica atrófica,K
3504,Prótesis de cadera izquierda,Z
3505,Flemo parafaringi,4
3506,prótesis mano derecha,Z
3507,hiperprolactinemia,E
3508,salpinguectomía geu izq lap,6
3509,Oxigenoteràpia,9
3510,rciu anteparto,6
3511,hepatoblastoma,1
3512,pesario cervical,6
3513,Quist esplènic,I
3514,deficit factor VII parto,D
3515,discopatía degenerativa lumbar,M
3516,alergias: níquel,Z
3517,NEOPLASIA VESICAL cara lateral,C
3518,Induccion médica de parto,O
3519,endometriosis ovario,N
3520,Mtx hepáticas,1
3521,Bulbitis erosiva,4
3522,RTU-Vesical,0
3523,Adherencias pélvicas,K
3524,Abdominalgia,R
3525,RX de pelvis,B
3526,Nefrostomía percutánea derecha,0
3527,Grupo sanguíneo materno: O Rh: Positivo,Z
3528,BOLSA ROTA,O
3529,diabética,E
3530,Hernias lumbares,M
3531,DOLOR PÉLVICO CRÓNICO,R
3532,recambio de expansor,8
3533,TAC abd,B
3534,carcinoma papilar tiroides,C
3535,GsRh; O positivo,Z
3536,Enfermedad Behcet,M
3537,vía pública,Y
3538,degeneración lumbar,M
3539,mareo,R
3540,EXTRACCION MANUAL placenta,1
3541,Antibioticoterapia,9
3542,Acidosis perinatal,O
3543,Escoliosis part,O
3544,sospecha de pérdida de bienestar fetal,6
3545,S.aureus,B
3546,HISTORIA PERSONAL DE QUIMIOTERAPIA ANTINEOPLASICA,Z
3547,Cefalea migrañosa,G
3548,345.00,I
3549,accidnet d,O
3550,inhibicion lactea,O
3551,Síndrome adherencial,K
3552,Cardiopatía fetal,O
3553,obesidad exógena,E
3554,Vitíligo,2
3555,perineorrafia,0
3556,lloc,E
3557,gemelar monocorial biamniotico,O
3558,Pólipo endometrial,N
3559,grietas pezon posparto,O
3560,Déficit neurológico,R
3561,infeccion ptc,5
3562,tged,8
3563,Placenta: retenida,O
3564,angiomas hepáticos,D
3565,Insuficiència venosa crònica,I
3566,Cuerpo extraño,9
3567,Equimosis espontànies,7
3568,Divertículosis colónica,K
3569,no progresión del parto,O
3570,Diabetes gestacional,O
3571,utero bicorne,Q
3572,Biopsia renal esq,0
3573,Leiomiomas,D
3574,migraña part,O
3575,bebe alcohol,F
3576,"Grupo A+,",Z
3577,Hipotiroidismo quirúrgicas parto,O
3578,preeclampsia leve,O
3579,angina crónica estable,I
3580,Hidrocele testicular bilateral,N
3581,E. Coli,B
3582,SOP PARTO,O
3583,Síndrome ansioso-depresivo parto,O
3584,Otitis Mitjana crónica,H
3585,anti D jose,O
3586,ca Mama derecha,C
3587,Barro biliar,K
3588,Weil,K
3589,sialorrea,R
3590,zika parto,O
3591,Litiasis renal,N
3592,Circular,O
3593,playa,Y
3594,psoriasis parto,L
3595,salpinguectomía bilateral vía laparóscopica,0
3596,Alergia al ibuprofeno,Z
3597,incontinencia fecal,7
3598,COLITIS ULCEROSA,K
3599,Depresion,F
3600,Grupo 0 POSITIVO,Z
3601,Hipereactividad Bronquial,J
3602,Úlcera gástrica,K
3603,hiperaldosteronismo primario,E
3604,Sobrepeso,E
3605,litiasis ureteral,5
3606,lipoma en antebrazo izquierdo,D
3607,ecografías abdómino-renal,B
3608,gastroscopia con biopsia,4
3609,INSUFICIENCIA CARDIACA,I
3610,Mastectomia tipo Madden mama derecha,0
3611,Ansiedad y depresión,F
3612,podalica,O
3613,S. marcescens,B
3614,neoplasia pancreática,C
3615,angina de esfuerzo,4
3616,Alteración de transaminasas,R
3617,ELONGACION CERVICAL,O
3618,S82.62XA,I
3619,intolerancia gluten parto,O
3620,Hipotiroidismo parto,E
3621,insulina,Z
3622,Hepatitis crónica VHC,B
3623,colecistectomía laparoscópica,5
3624,uretrografia retrògrada,B
3625,anemización,D
3626,cirrosis biliar,K
3627,ANEXECTOMÍA IZQUIERDA,0
3628,ADHERENCIAS,Z
3629,Rechazo de la ingesta,R
3630,Ureterocele congènit,N
3631,K91.0,K
3632,CA escamoso de cérvix,C
3633,SAHOS,3
3634,eco 1t,B
3635,alergia a PENICILINA,V
3636,Soplo cardíaco,R
3637,Atresia esofàgica,5
3638,Flemon dentario,5
3639,Prurito sine materia,6
3640,Apendicitis aguda,K
3641,sulfonilureas,E
3642,taquicardia parto,O
3643,III plano OIIA,O
3644,extrasístoles ventriculares,I
3645,asma parto,O
3646,Rubeola No inmune,Z
3647,Enfisema,J
3648,Madden izq,0
3649,donación de médula ósea,Z
3650,prótesis auditiva,Z
3651,40+5 sg,Z
3652,SINTROM,E
3653,prematuro 2000,P
3654,b9689,B
3655,Ecografía transfontanelar,B
3656,acenocumarol,V
3657,Refluxe gastroesofàgic,K
3658,alergia a tramadol,Z
3659,síndrome de hiperestimulación ovárica,6
3660,biopsiade ganglio centinela,4
3661,hemitiroidectomía derecha,0
3662,salpingectomía bilateral,0
3663,75.4,N
3664,Deficit Proteina S parto,O
3665,cefuroxima,9
3666,Cuadros sincopales,R
3667,poliquistosis hepatorrenal,Q
3668,hábito enólico,F
3669,Trastorno obsesivo compulsivo,F
3670,ALERGIAS: CEFUROXIMA,Z
3671,rUBEOLA NO INMUNE,Z
3672,Duodenitis,K
3673,obesidad parto,Z
3674,Grupo A+ Rh,Z
3675,prótesis invertida de hombro derecho,0
3676,golpe contra muro,E
3677,gemelar monocorial biamniótica,O
3678,Colangio - RMN,B
3679,DISTOCIA DE HOMBROS,M
3680,Intolerancia a la Lactosa,E
3681,Mioma PARTO,O
3682,excision ovario derecho lap,0
3683,Adherencias part,O
3684,GSRh O +.,Z
3685,Esteatohepatitis alcoholica,5
3686,varices pp,O
3687,Enterococcus,B
3688,mioma subseroso,D
3689,Salpinguectomía geu izq lap,6
3690,Trombectomía acm derecha,0
3691,Rubeola NO INMUNE .,Z
3692,Anemia carencial,D
3693,carcinoma espinocelular,8
3694,NEFROPATÍA DIABÉTICA,N
3695,GS: A+,Z
3696,desgarro grado IIIB,O
3697,Diverticulosis coli,K
3698,Lumbalgia crónica,M
3699,gammaglobulina anti D,6
3700,Miopía magna parto,H
3701,VIH part,O
3702,asma parto,O
3703,adrenalina im,3
3704,Histerectomi,6
3705,Plaquetopenia part,D
3706,RECONVERSIÓN A LAPAROTOMIA,Z
3707,Carcinoma de ovario,C
3708,Alergias: Iode-contrastos iodats,Z
3709,aguas teñidas,O
3710,fractura maleolo peroneal derecho,S
3711,: B postivo,Z
3712,Gastritis parto,K
3713,acromioplastia izq,0
3714,Grupo sanguineo: O (+),Z
3715,Policitemia vera,D
3716,Hidrosadenitis,N
3717,Linfadenectomía axilar izquierda,0
3718,Epilepsia focal,G
3719,MASTECTOMÍA MAMA DERECHA,0
3720,Dèficit psicomotor,R
3721,lumbociatalgia,M
3722,Impedanciometria,4
3723,hipoglucemia dm,2
3724,GS 0 +,Z
3725,Hemangioma hepático,2
3726,Herniorrafia umbilical,5
3727,Xoc sèptic 2,R
3728,Hipotensión qx,R
3729,ECOGRAFÍA: Gestación gemelar,B
3730,DTT,8
3731,multiparidad,6
3732,salpinguectomia derecha lap,6
3733,enterovirus,B
3734,Hipermetropia,H
3735,39 semanas,Z
3736,Fumadora PART,F
3737,Fibromiàlgia,M
3738,colonoscopia,5
3739,Suero fisiològic,3
3740,cesarea ant anteparto,6
3741,sinusotomia frontal bilateral,0
3742,Ex-fumadora,Z
3743,40+3 SG,Z
3744,Hipotiroidismo part,O
3745,"Conjuntivitis atòpica aguda, ull no especificat",H
3746,Alérgica a polen,Z
3747,Esofagitis,K
3748,Sinus pilonidal,L
3749,migraña con aura parto,G
3750,Quistes hepáticos,K
3751,Prolapso de cúpula vaginal,N
3752,Grupo sanguínea: A Rh positivo,Z
3753,desnutrición,E
3754,Hipertensión arterial Insuficiencia renal crónica,I
3755,sd .constitucional,F
3756,Obesidad mórbida part,E
3757,dorsal ancho mama derecha,0
3758,port-a-cath,0
3759,desgarro iii,O
3760,Síndrome polimalformativo,Q
3761,dolor abdominal,R
3762,FALTA DE PROGRESION,Z
3763,Hipernatremia,E
3764,DGA ANTEPARTO,6
3765,hiperprolactinemia parto,E
3766,metatarsalgia,M
3767,orquiectomía izq,0
3768,caída,E
3769,HIV +,Z
3770,Historia de Fractura,Z
3771,hh,Z
3772,SAHS SEVERO,G
3773,E.coli,B
3774,presentación inestable,R
3775,Retraso psicomotor,R
3776,ECO obstétrica,8
